,year,driver,team,track,FP2 fastest lap,FP2 tyre life,FP3 fastest lap,FP3 tyre life,theoretical fastest lap,qualifying time
0,2018,HAM,Mercedes,Australian Grand Prix,83.931,2.0,94.225,4.0,94.225,81.164
0,2018,RAI,Ferrari,Australian Grand Prix,84.214,2.0,88.499,2.0,88.499,81.828
0,2018,VER,Red Bull Racing,Australian Grand Prix,84.058,2.0,91.68,7.0,91.68,81.879
0,2018,RIC,Red Bull Racing,Australian Grand Prix,84.721,9.0,94.043,13.0,94.043,82.152
0,2018,MAG,Haas F1 Team,Australian Grand Prix,85.246,2.0,96.807,2.0,96.807,83.187
0,2018,GRO,Haas F1 Team,Australian Grand Prix,84.648,2.0,96.171,3.0,96.171,83.339
0,2018,SAI,Renault,Australian Grand Prix,85.39,4.0,93.172,7.0,93.172,83.577
0,2018,BOT,Mercedes,Australian Grand Prix,84.159,2.0,94.174,8.0,94.174,82.089
0,2018,ALO,McLaren,Australian Grand Prix,85.2,4.0,94.298,9.0,94.298,83.692
0,2018,VAN,McLaren,Australian Grand Prix,85.285,2.0,94.233,12.0,94.233,83.853
0,2018,STR,Williams,Australian Grand Prix,85.543,4.0,95.828,4.0,95.828,84.23
0,2018,HAR,Toro Rosso,Australian Grand Prix,85.925,2.0,95.438,10.0,95.438,84.532
0,2018,ERI,Sauber,Australian Grand Prix,86.814,2.0,88.89,2.0,88.89,84.556
0,2018,LEC,Sauber,Australian Grand Prix,86.815,2.0,96.448,10.0,96.448,84.636
0,2018,SIR,Williams,Australian Grand Prix,85.974,6.0,95.589,12.0,95.589,84.922
0,2018,GAS,Toro Rosso,Australian Grand Prix,85.945,2.0,94.99,11.0,94.99,85.295
0,2018,VET,Ferrari,Bahrain Grand Prix,89.828,2.0,90.719,4.0,90.719,87.958
0,2018,RAI,Ferrari,Bahrain Grand Prix,89.817,2.0,89.868,2.0,89.868,88.101
0,2018,BOT,Mercedes,Bahrain Grand Prix,90.38,2.0,90.781,2.0,90.781,88.124
0,2018,HAM,Mercedes,Bahrain Grand Prix,90.472,3.0,90.691,2.0,90.691,88.22
0,2018,RIC,Red Bull Racing,Bahrain Grand Prix,90.751,2.0,90.452,2.0,90.452,88.398
0,2018,GAS,Toro Rosso,Bahrain Grand Prix,91.232,2.0,91.438,2.0,91.438,89.329
0,2018,MAG,Haas F1 Team,Bahrain Grand Prix,91.969,2.0,91.737,3.0,91.737,89.358
